name,DOID,ai
subepithelial mucinous corneal dystrophy,0060454,
Thiel-Behnke corneal dystrophy,0060455,
Schnyder corneal dystrophy,0060456,
posterior polymorphous corneal dystrophy,0060457,
chromosome 2q31.1 duplication syndrome,0060458,
chromosome 3q29 microduplication syndrome,0060459,
chromosome 5p13 duplication syndrome,0060460,
chromosome Xp11.23-p11.22 duplication syndrome,0060461,
Desbuquois dysplasia,0060462,
NUT midline carcinoma,0060463,
Feingold syndrome,0060464,
fibrochondrogenesis,0060465,
gingival fibromatosis,0060466,
humeroradial synostosis,0060467,
Holt-Oram syndrome,0060468,
Miller-Dieker lissencephaly syndrome,0060469,
salt and pepper syndrome,0060470,
fetal valproate syndrome,0060471,
Kindler syndrome,0060472,
Kabuki syndrome,0060473,
familial erythrocytosis 2,0060474,
childhood onset epileptic encephalopathy,0060475,
Perlman syndrome,0060476,
Zika fever,0060478,
Shwachman-Diamond syndrome,0060479,
left ventricular noncompaction,0060480,
Goldberg-Shprintzen syndrome,0060481,
oculoauricular syndrome,0060482,
MEDNIK syndrome,0060483,
EAST syndrome,0060484,
Mowat-Wilson syndrome,0060485,
Perry syndrome,0060486,
Pitt-Hopkins syndrome,0060488,
Schimke immuno-osseous dysplasia,0060490,
SPOAN syndrome,0060491,
chicken egg allergy,0060492,
shellfish allergy,0060495,
respiratory allergy,0060496,
pollen allergy,0060497,
Timothy grass allergy,0060498,
autoimmune neuropathy,0060499,
drug allergy,0060500,
metal allergy,0060501,
gastrointestinal allergy,0060502,
fruit allergy,0060503,
apple allergy,0060504,
apricot allergy,0060505,
cherry allergy,0060506,
Indian plum allergy,0060507,
orange allergy,0060508,
melon allergy,0060509,
peach allergy,0060510,
plum allergy,0060511,
tomato allergy,0060512,
fish allergy,0060513,
Atlantic cod allergy,0060514,
Atlantic salmon allergy,0060515,
carp allergy,0060516,
zebrafish allergy,0060517,
rainbow trout allergy,0060518,
beta-lactam allergy,0060519,
penicillin allergy,0060520,
cow milk allergy,0060521,
goat milk allergy,0060522,
mollusc allergy,0060523,
crustacean allergy,0060524,
brown shrimp allergy,0060525,
crab allergy,0060526,
Indian prawn allergy,0060527,
tiger prawn allergy,0060528,
white shrimp allergy,0060529,
snail allergy,0060530,
horned turban snail allergy,0060531,
latex allergy,0060532,
hepatoid adenocarcinoma,0060534,
Warsaw breakage syndrome,0060535,
mitochondrial complex I deficiency,0060536,
mitochondrial complex II deficiency,0060537,
purpura fulminans,0060538,
Hermansky-Pudlak syndrome 1,0060539,
Hermansky-Pudlak syndrome 2,0060540,
Hermansky-Pudlak syndrome 3,0060541,
Hermansky-Pudlak syndrome 4,0060542,
Hermansky-Pudlak syndrome 5,0060543,
Hermansky-Pudlak syndrome 6,0060544,
Hermansky-Pudlak syndrome 7,0060545,
Hermansky-Pudlak syndrome 8,0060546,
Hermansky-Pudlak syndrome 9,0060547,
luminal breast carcinoma,0060548,
Barber-Say syndrome,0060549,
ablepharon macrostomia syndrome,0060550,
poikiloderma with neutropenia,0060551,
Kufor-Rakeb syndrome,0060556,
ataxia with oculomotor apraxia type 3,0060557,
lethal congenital contracture syndrome,0060558,
lethal congenital contracture syndrome 1,0060559,
lethal congenital contracture syndrome 2,0060560,
obsolete DMD-related dilated cardiomyopathy,0060561,
anomalous left coronary artery from the pulmonary artery,0060562,
Char syndrome,0060563,
spinal disease,0060564,
Ritscher-Schinzel syndrome,0060565,
Holzgreve-Wagner-Rehder Syndrome,0060566,
erythema elevatum diutinum,0060567,
hypertrichotic osteochondrodysplasia Cantu type,0060569,
cardiac tuberculosis,0060570,
Ritscher-Schinzel syndrome 1,0060571,
Ritscher-Schinzel syndrome 2,0060572,
von Willebrand's disease 1,0060573,
von Willebrand's disease 2,0060574,
3MC syndrome 1,0060575,
3MC syndrome 2,0060576,
3MC syndrome 3,0060577,
Noonan syndrome 1,0060578,
Noonan syndrome 2,0060580,
Noonan syndrome 3,0060581,
Noonan syndrome 4,0060582,
Noonan syndrome 5,0060583,
Noonan syndrome 6,0060584,
Noonan syndrome 7,0060585,
Noonan syndrome 8,0060586,
Noonan syndrome 9,0060587,
Noonan syndrome 10,0060588,
Yunis-Varon syndrome,0060589,
XFE progeroid syndrome,0060590,
WHIM syndrome,0060591,
B-cell adult acute lymphocytic leukemia,0060592,
atypical chronic myeloid leukemia,0060597,
Nance-Horan syndrome,0060599,
obsolete hereditary motor and sensory neuropathy with agenesis of the corpus callosum,0060600,
alpha-2-plasmin inhibitor deficiency,0060601,
alpha-methylacyl-CoA racemase deficiency,0060602,
isolated anhidrosis with normal sweat glands,0060603,
ankyloglossia,0060604,
obsolete anterior segment mesenchymal dysgenesis,0060605,
fetal nicotine spectrum disorder,0060606,
microcephalic osteodysplastic primordial dwarfism type I,0060608,
microcephalic osteodysplastic primordial dwarfism type II,0060609,
megacystis-microcolon-intestinal hypoperistalsis syndrome,0060610,
abdominal obesity-metabolic syndrome,0060611,
abdominal obesity-metabolic syndrome 3,0060612,
X-linked cleft palate with or without ankyloglossia,0060613,
ulnar-mammary syndrome,0060614,
neonatal diabetes mellitus with congenital hypothyroidism,0060638,
permanent neonatal diabetes mellitus,0060639,
ethylmalonic encephalopathy,0060640,
endocrine-cerebro-osteodysplasia syndrome,0060641,
recessive dystrophic epidermolysis bullosa,0060642,
primary sclerosing cholangitis,0060643,
chondrodysplasia-pseudohermaphroditism syndrome,0060644,
chronic recurrent multifocal osteomyelitis,0060645,
congenital chylothorax,0060646,
cocoon syndrome,0060647,
anterior segment dysgenesis,0060648,
congenital hereditary endothelial dystrophy of cornea,0060649,
dicarboxylic aminoaciduria,0060650,
MYH-9 related disease,0060651,
familial erythrocytosis 1,0060652,
lethal congenital contracture syndrome 3,0060653,
lethal congenital contracture syndrome 4,0060654,
autosomal recessive congenital ichthyosis,0060655,
autosomal recessive congenital ichthyosis 1,0060656,
anencephaly,0060668,
cerebral cavernous malformation,0060669,
cerebral cavernous malformation 2,0060670,
cerebral cavernous malformation 3,0060671,
Grn-related frontotemporal lobar degeneration with Tdp43 inclusions,0060672,
Peters anomaly,0060673,
catecholaminergic polymorphic ventricular tachycardia,0060674,
catecholaminergic polymorphic ventricular tachycardia 1,0060675,
catecholaminergic polymorphic ventricular tachycardia 2,0060676,
catecholaminergic polymorphic ventricular tachycardia 3,0060677,
catecholaminergic polymorphic ventricular tachycardia 4,0060678,
catecholaminergic polymorphic ventricular tachycardia 5,0060679,
pigment dispersion syndrome,0060680,
autosomal dominant nocturnal frontal lobe epilepsy,0060681,
autosomal dominant nocturnal frontal lobe epilepsy 1,0060682,
autosomal dominant nocturnal frontal lobe epilepsy 2,0060683,
autosomal dominant nocturnal frontal lobe epilepsy 3,0060684,
autosomal dominant nocturnal frontal lobe epilepsy 4,0060685,
autosomal dominant nocturnal frontal lobe epilepsy 5,0060686,
arteriovenous malformations of the brain,0060688,
atrichia with papular lesions,0060689,
autosomal dominant auditory neuropathy 1,0060690,
platelet-type bleeding disorder 16,0060691,
platelet-type bleeding disorder 8,0060692,
Brunner Syndrome,0060693,
Cayman type cerebellar ataxia,0060694,
hyperekplexia,0060695,
hyperekplexia 1,0060696,
hyperekplexia 2,0060697,
hyperekplexia 3,0060698,
familial hypocalciuric hypercalcemia,0060699,
familial hypocalciuric hypercalcemia 1,0060700,
familial hypocalciuric hypercalcemia 2,0060701,
familial hypocalciuric hypercalcemia 3,0060702,
Muenke Syndrome,0060703,
lymphoproliferative syndrome,0060704,
X-linked lymphoproliferative syndrome 1,0060705,
X-linked lymphoproliferative syndrome 2,0060706,
lymphoproliferative syndrome 1,0060707,
lymphoproliferative syndrome 2,0060708,
autosomal recessive congenital ichthyosis 2,0060710,
autosomal recessive congenital ichthyosis 3,0060711,
autosomal recessive congenital ichthyosis 4A,0060712,
autosomal recessive congenital ichthyosis 4B,0060713,
autosomal recessive congenital ichthyosis 5,0060714,
autosomal recessive congenital ichthyosis 6,0060715,
autosomal recessive congenital ichthyosis 7,0060716,
autosomal recessive congenital ichthyosis 8,0060717,
autosomal recessive congenital ichthyosis 9,0060718,
autosomal recessive congenital ichthyosis 10,0060719,
autosomal recessive congenital ichthyosis 11,0060720,
NGLY1-deficiency,0060728,
torsion dystonia 1,0060730,
congenital central hypoventilation syndrome,0060731,
chromosome 9p deletion syndrome,0060732,
junctional epidermolysis bullosa with pyloric atresia,0060733,
epidermolysis bullosa simplex Dowling-Meara type,0060735,
epidermolysis bullosa simplex Ogna type,0060736,
junctional epidermolysis bullosa Herlitz type,0060737,
junctional epidermolysis bullosa non-Herlitz type,0060738,
hand-foot-genital syndrome,0060739,
methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,0060740,
methylmalonic acidemia due to transcobalamin receptor defect,0060741,
methylmalonic acidemia cblA type,0060742,
methylmalonic acidemia cblB type,0060743,
Pendred Syndrome,0060744,
Doyne honeycomb retinal dystrophy,0060745,
basal laminar drusen,0060746,
Duane-radial ray syndrome,0060747,
familial temporal lobe epilepsy 1,0060748,
familial temporal lobe epilepsy 6,0060749,
familial temporal lobe epilepsy 3,0060750,
familial temporal lobe epilepsy 7,0060751,
familial temporal lobe epilepsy 5,0060752,
familial temporal lobe epilepsy 4,0060753,
familial temporal lobe epilepsy 8,0060754,
familial temporal lobe epilepsy 2,0060755,
sclerosteosis 1,0060756,
sclerosteosis 2,0060757,
immunodeficiency with hyper-IgM type 2,0060758,
immunodeficiency with hyper IgM type 5,0060759,
immunodeficiency with hyper-IgM type 4,0060760,
familial chronic myelocytic leukemia-like syndrome,0060761,
lethal restrictive dermopathy,0060762,
X-linked juvenile retinoschisis 1,0060763,
autosomal recessive Robinow syndrome,0060764,
autosomal dominant Robinow syndrome 2,0060765,
autosomal dominant Robinow syndrome 1,0060766,
autosomal dominant Robinow syndrome 3,0060767,
Smith-Magenis syndrome,0060768,
"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",0060769,
dextro-looped transposition of the great arteries,0060770,
dextro-looped transposition of the great arteries 1,0060771,
dextro-looped transposition of the great arteries 3,0060772,
cleft lip-palate-ectodermal dysplasia syndrome,0060773,
congenital diarrhea,0060774,
microvillus inclusion disease,0060775,
congenital diarrhea 5 with tufting enteropathy,0060776,
congenital secretory sodium diarrhea 8,0060777,
congenital diarrhea 7 with exudative enteropathy,0060778,
congenital malabsorptive diarrhea 4,0060779,
congenital diarrhea 6,0060780,
congenital secretory sodium diarrhea 3,0060781,
EEC syndrome,0060782,
"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3",0060783,
"ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1",0060784,
adult-onset autosomal dominant demyelinating leukodystrophy,0060785,
hypomyelinating leukodystrophy,0060786,
hypomyelinating leukodystrophy 2,0060787,
hypomyelinating leukodystrophy 10,0060788,
hypomyelinating leukodystrophy 4,0060789,
hypomyelinating leukodystrophy 3,0060790,
hypomyelinating leukodystrophy 9,0060791,
hypomyelinating leukodystrophy 11,0060792,
hypomyelinating leukodystrophy 5,0060793,
hypomyelinating leukodystrophy 7 with or without oligodontia and-or hypogonadotropic hypogonadism,0060794,
hypomyelinating leukodystrophy 13,0060795,
hypomyelinating leukodystrophy 12,0060796,
hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism,0060797,
hypomyelinating leukodystrophy 6,0060798,
syndromic X-linked intellectual disability Lubs type,0060799,
syndromic X-linked intellectual disability 5,0060800,
MEHMO syndrome,0060801,
syndromic X-linked intellectual disability Snyder type,0060802,
syndromic X-linked intellectual disability 17,0060803,
syndromic X-linked intellectual disability 12,0060804,
Prieto syndrome,0060805,
syndromic X-linked intellectual disability Hedera type,0060806,
syndromic X-linked intellectual disability Najm type,0060807,
syndromic X-linked intellectual disability 7,0060808,
syndromic X-linked intellectual disability Claes-Jensen type,0060809,
syndromic X-linked intellectual disability type 10,0060810,
syndromic X-linked intellectual disability Turner type,0060811,
syndromic X-linked intellectual disability Siderius type,0060812,
syndromic X-linked intellectual disability Shrimpton type,0060813,
Wilson-Turner syndrome,0060814,
Miles-Carpenter syndrome,0060815,
corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,0060816,
syndromic X-linked intellectual disability 34,0060817,
syndromic X-linked intellectual disability Abidi type,0060818,
syndromic X-linked intellectual disability Chudley-Schwartz type,0060819,
syndromic X-linked intellectual disability Nascimento type,0060820,
syndromic X-linked intellectual disability 14,0060821,
syndromic X-linked intellectual disability Cabezas type,0060822,
syndromic X-linked intellectual disability 94,0060823,
syndromic X-linked intellectual disability Raymond type,0060824,
Christianson syndrome,0060825,
syndromic X-linked intellectual disability Shashi type,0060826,
X-linked intellectual disability-psychosis-macroorchidism syndrome,0060827,
X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,0060828,
obsolete Brooks-Wisniewski-Brown syndrome,0060829,
"deafness-intellectual disability, Martin-Probst type syndrome",0060830,
Griscelli syndrome,0060831,
Griscelli syndrome type 1,0060832,
Griscelli syndrome type 2,0060833,
Griscelli syndrome type 3,0060834,
isolated microphthalmia 6,0060835,
isolated microphthalmia 4,0060836,
isolated microphthalmia 5,0060837,
isolated microphthalmia 7,0060838,
isolated microphthalmia 2,0060839,
isolated microphthalmia 1,0060840,
isolated microphthalmia 8,0060841,
isolated microphthalmia 3,0060842,
hereditary neuropathy with liability to pressure palsies,0060843,
Norrie disease,0060844,
Leri-Weill dyschondrosteosis,0060847,
early infantile epileptic encephalopathy 9,0060848,
osteoporosis-pseudoglioma syndrome,0060849,
annular pancreas,0060850,
pemphigus vulgaris,0060851,
Pierson syndrome,0060852,
Potocki-Lupski syndrome,0060853,
autosomal recessive pseudohypoaldosteronism type 1,0060854,
autosomal dominant pseudohypoaldosteronism type 1,0060855,
right atrial isomerism,0060856,
septooptic dysplasia,0060857,
hypotonia-cystinuria syndrome,0060858,
salmonellosis,0060859,
microphthalmia with limb anomalies,0060861,
mal de Meleda,0060862,
patterned macular dystrophy,0060863,
patterned macular dystrophy 2,0060864,
patterned macular dystrophy 3,0060865,
patterned macular dystrophy 1,0060866,
macrocephaly-autism syndrome,0060867,
leukoencephalopathy with vanishing white matter,0060868,
late-onset retinal degeneration,0060869,
isolated growth hormone deficiency,0060870,
autosomal dominant keratitis-ichthyosis-deafness syndrome,0060871,
isolated growth hormone deficiency type II,0060872,
isolated growth hormone deficiency type IA,0060873,
isolated growth hormone deficiency type IB,0060874,
isolated growth hormone deficiency type III,0060875,
bullous congenital ichthyosiform erythroderma,0060877,
hypoparathyroidism-deafness-renal disease syndrome,0060878,
primary hypomagnesemia,0060879,
renal hypomagnesemia 3,0060880,
renal hypomagnesemia 5 with ocular involvement,0060881,
renal hypomagnesemia 4,0060882,
intestinal hypomagnesemia 1,0060883,
renal hypomagnesemia 6,0060884,
renal hypomagnesemia 2,0060885,
osteopathia striata with cranial sclerosis,0060886,
ossification of the posterior longitudinal ligament of spine,0060887,
transient myeloproliferative syndrome,0060888,
prune belly syndrome,0060889,
ectopic Cushing syndrome,0060890,
Parkinson's disease 19A,0060891,
late onset Parkinson's disease,0060892,
juvenile-onset Parkinson's disease,0060893,
early-onset Parkinson's disease,0060894,
Parkinson's disease 4,0060895,
Parkinson's disease 23,0060896,
Parkinson's disease 17,0060897,
Parkinson's disease 20,0060898,
Parkinson's disease 14,0060900,
Waldenstroem's macroglobulinemia,0060901,
Norman-Roberts syndrome,0060902,
thrombosis,0060903,
legume allergy,0060904,
karyomegalic interstitial nephritis,0060911,
3-methylglutaconic aciduria type 8,0070000,
obsolete neoplastic disease,0070001,
3-methylglutaconic aciduria type 9,0070002,
blastoma,0070003,
myeloid neoplasm,0070004,
Seckel syndrome 9,0070005,
Seckel syndrome 6,0070006,
Seckel syndrome 1,0070007,
Seckel syndrome 10,0070008,
Seckel syndrome 8,0070009,
Seckel syndrome 4,0070010,
Seckel syndrome 7,0070011,
Seckel syndrome 5,0070012,
Seckel syndrome 2,0070013,
autosomal dominant dyskeratosis congenita 1,0070014,
autosomal recessive dyskeratosis congenita 1,0070015,
autosomal dominant dyskeratosis congenita 2,0070016,
autosomal recessive dyskeratosis congenita 2,0070017,
autosomal dominant dyskeratosis congenita 3,0070018,
autosomal recessive dyskeratosis congenita 3,0070019,
autosomal dominant dyskeratosis congenita 4,0070020,
autosomal recessive dyskeratosis congenita 4,0070021,
autosomal recessive dyskeratosis congenita 5,0070022,
autosomal dominant dyskeratosis congenita 6,0070023,
autosomal recessive dyskeratosis congenita 6,0070024,
X-linked dyskeratosis congenita,0070025,
Revesz syndrome,0070026,
CST3-related cerebral amyloid angiopathy,0070027,
APP-related cerebral amyloid angiopathy,0070028,
ITM2B-related cerebral amyloid angiopathy 1,0070029,
ITM2B-related cerebral amyloid angiopathy 2,0070030,
autosomal dominant non-syndromic intellectual disability 1,0070031,
autosomal dominant non-syndromic intellectual disability 2,0070032,
autosomal dominant non-syndromic intellectual disability 3,0070033,
autosomal dominant non-syndromic intellectual disability 4,0070034,
autosomal dominant non-syndromic intellectual disability 5,0070035,
autosomal dominant non-syndromic intellectual disability 6,0070036,
autosomal dominant non-syndromic intellectual disability 7,0070037,
autosomal dominant non-syndromic intellectual disability 8,0070038,
autosomal dominant non-syndromic intellectual disability 9,0070039,
autosomal dominant non-syndromic intellectual disability 10,0070040,
autosomal dominant non-syndromic intellectual disability 11,0070041,
Coffin-Siris syndrome 1,0070042,
autosomal dominant non-syndromic intellectual disability 13,0070043,
Coffin-Siris syndrome 2,0070044,
Coffin-Siris syndrome 3,0070045,
Coffin-Siris syndrome 4,0070046,
Schuurs-Hoeijmakers Syndrome,0070047,
autosomal dominant non-syndromic intellectual disability 18,0070048,
autosomal dominant non-syndromic intellectual disability 19,0070049,
autosomal dominant mental retardation 20,0070050,
autosomal dominant non-syndromic intellectual disability 21,0070051,
autosomal dominant non-syndromic intellectual disability 22,0070052,
autosomal dominant non-syndromic intellectual disability 23,0070053,
autosomal dominant non-syndromic intellectual disability 24,0070054,
Xia-Gibbs Syndrome,0070055,
autosomal dominant non-syndromic intellectual disability 26,0070056,
autosomal dominant non-syndromic intellectual disability 27,0070057,
Helsmoortel-Van Der Aa Syndrome,0070058,
autosomal dominant non-syndromic intellectual disability 29,0070059,
autosomal dominant non-syndromic intellectual disability 30,0070060,
autosomal dominant non-syndromic intellectual disability 31,0070061,
autosomal dominant non-syndromic intellectual disability 32,0070062,
autosomal dominant non-syndromic intellectual disability 33,0070063,
autosomal dominant non-syndromic intellectual disability 34,0070064,
autosomal dominant non-syndromic intellectual disability 35,0070065,
autosomal dominant non-syndromic intellectual disability 36,0070066,
White-Sutton syndrome,0070067,
autosomal dominant non-syndromic intellectual disability 38,0070068,
autosomal dominant non-syndromic intellectual disability 39,0070069,
autosomal dominant non-syndromic intellectual disability 40,0070070,
autosomal dominant non-syndromic intellectual disability 41,0070071,
autosomal dominant non-syndromic intellectual disability 42,0070072,
autosomal dominant non-syndromic intellectual disability 43,0070073,
autosomal dominant non-syndromic intellectual disability 44,0070074,
obsolete Kleefstra Syndrome,0070075,
obsolete Koolen-De Vries syndrome,0070076,
schizophrenia 1,0070077,
schizophrenia 2,0070078,
schizophrenia 3,0070079,
schizophrenia 4,0070080,
schizophrenia 5,0070081,
schizophrenia 6,0070082,
schizophrenia 7,0070083,
schizophrenia 8,0070084,
schizophrenia 9,0070085,
schizophrenia 10,0070086,
schizophrenia 11,0070087,
schizophrenia 12,0070088,
schizophrenia 13,0070089,
schizophrenia 14,0070090,
schizophrenia 15,0070091,
schizophrenia 16,0070092,
schizophrenia 18,0070093,
oculocutaneous albinism type IA,0070094,
oculocutaneous albinism type IB,0070095,
oculocutaneous albinism type II,0070096,
oculocutaneous albinism type III,0070097,
oculocutaneous albinism type IV,0070098,
oculocutaneous albinism type V,0070099,
oculocutaneous albinism type VII,0070100,
obsolete Noonan syndrome 1,0070101,
obsolete Noonan syndrome 2,0070102,
obsolete Noonan syndrome 3,0070103,
obsolete Noonan syndrome 4,0070104,
obsolete Noonan syndrome 5,0070105,
obsolete Noonan syndrome 6,0070106,
obsolete Noonan syndrome 7,0070107,
obsolete Noonan syndrome 8,0070108,
obsolete Noonan syndrome 9,0070109,
obsolete Noonan syndrome 10,0070110,
Niemann-Pick disease type A,0070111,
Niemann-Pick disease type B,0070112,
Niemann-Pick disease type C1,0070113,
Niemann-Pick disease type C2,0070114,
Meckel syndrome 1,0070115,
Meckel syndrome 2,0070116,
Meckel syndrome 3,0070117,
Meckel syndrome 4,0070118,
Meckel syndrome 5,0070119,
Meckel syndrome 6,0070120,
Meckel syndrome 7,0070121,
Meckel syndrome 8,0070122,
congenital nongoitrous hypothyroidism 4,0070123,
congenital nongoitrous hypothyroidism 2,0070124,
congenital nongoitrous hypothyroidism 5,0070125,
congenital nongoitrous hypothyroidism 1,0070126,
congenital nongoitrous hypothyroidism 3,0070127,
congenital nongoitrous hypothyroidism 6,0070128,
autosomal recessive cutis laxa type IID,0070129,
autosomal dominant cutis laxa 1,0070130,
autosomal dominant cutis laxa 3,0070131,
autosomal recessive cutis laxa type IIIA,0070132,
autosomal recessive cutis laxa type IB,0070133,
autosomal recessive cutis laxa type IIA,0070134,
autosomal recessive cutis laxa type IA,0070135,
autosomal dominant cutis laxa 2,0070136,
autosomal recessive cutis laxa type IIB,0070137,
autosomal recessive cutis laxa type IIIB,0070138,
autosomal recessive cutis laxa type IC,0070139,
autosomal recessive cutis laxa type IIC,0070140,
autosomal recessive cutis laxa type II classic type,0070141,
autosomal dominant cutis laxa,0070142,
autosomal recessive cutis laxa type III,0070143,
autosomal recessive cutis laxa type I,0070144,
hereditary sensory and autonomic neuropathy type 5,0070145,
hereditary sensory neuropathy type 4,0070146,
hereditary sensory neuropathy type 2C,0070147,
hereditary sensory neuropathy type 1B,0070148,
hereditary sensory and autonomic neuropathy type 7,0070149,
hereditary sensory and autonomic neuropathy type 2B,0070150,
hereditary sensory and autonomic neuropathy type 6,0070151,
hereditary sensory and autonomic neuropathy type 1A,0070152,
hereditary sensory and autonomic neuropathy type 8,0070153,
hereditary sensory neuropathy type 1F,0070154,
hereditary sensory and autonomic neuropathy type 2A,0070155,
hereditary sensory neuropathy type 1D,0070156,
hereditary sensory and autonomic neuropathy type 1C,0070157,
hereditary sensory neuropathy type 1E,0070158,
hereditary sensory neuropathy X-linked,0070159,
atypical hereditary sensory neuropathy,0070160,
hereditary sensory and autonomic neuropathy type 2,0070161,
hereditary sensory and autonomic neuropathy type 1,0070162,
spermatogenic failure 21,0070163,
spermatogenic failure 2,0070164,
spermatogenic failure 18,0070165,
spermatogenic failure 20,0070166,
spermatogenic failure 6,0070167,
spermatogenic failure 3,0070168,
spermatogenic failure 8,0070169,
spermatogenic failure 19,0070170,
spermatogenic failure 12,0070171,
spermatogenic failure 15,0070172,
spermatogenic failure 7,0070173,
spermatogenic failure 17,0070174,
obsolete spermatogenic failure 9,0070175,
spermatogenic failure 4,0070176,
spermatogenic failure 22,0070177,
spermatogenic failure 10,0070178,
spermatogenic failure 14,0070179,
spermatogenic failure 11,0070180,
spermatogenic failure 23,0070181,
spermatogenic failure 13,0070182,
spermatogenic failure 5,0070183,
spermatogenic failure 16,0070184,
X-linked spermatogenic failure 2,0070185,
Y-linked spermatogenic failure 1,0070186,
Y-linked spermatogenic failure 2,0070187,
spermatogenic failure 1,0070188,
X-linked spermatogenic failure 1,0070189,
autosomal dominant chronic granulomatous disease,0070190,
autosomal recessive chronic granulomatous disease cytochrome b-positive type II,0070191,
autosomal recessive chronic granulomatous disease cytochrome b-positive type I,0070192,
autosomal recessive chronic granulomatous disease cytochrome b-negative,0070193,
autosomal recessive chronic granulomatous disease cytochrome b-positive type III,0070194,
X-linked chronic granulomatous disease,0070195,
infantile-onset distal myopathy,0070196,
distal myopathy 1,0070197,
Miyoshi muscular dystrophy,0070198,
Miyoshi muscular dystrophy 1,0070199,
Miyoshi muscular dystrophy 2,0070200,
Miyoshi muscular dystrophy 3,0070201,
familial partial lipodystrophy type 2,0070202,
familial partial lipodystrophy type 5,0070203,
familial partial lipodystrophy type 3,0070204,
familial partial lipodystrophy type 4,0070205,
familial partial lipodystrophy type 6,0070206,
familial partial lipodystrophy type 1,0070207,
hereditary lymphedema IC,0070208,
hereditary lymphedema ID,0070209,
hereditary lymphedema IA,0070210,
hereditary lymphedema IB,0070211,
hereditary lymphedema I,0070212,
hereditary lymphedema II,0070213,
familial hyperinsulinemic hypoglycemia 7,0070214,
familial hyperinsulinemic hypoglycemia 4,0070215,
familial hyperinsulinemic hypoglycemia 3,0070216,
familial hyperinsulinemic hypoglycemia 6,0070217,
familial hyperinsulinemic hypoglycemia 2,0070218,
familial hyperinsulinemic hypoglycemia 1,0070219,
familial hyperinsulinemic hypoglycemia 5,0070220,
progressive familial intrahepatic cholestasis,0070221,
progressive familial intrahepatic cholestasis 2,0070222,
progressive familial intrahepatic cholestasis 3,0070223,
progressive familial intrahepatic cholestasis 4,0070224,
progressive familial intrahepatic cholestasis 5,0070225,
progressive familial intrahepatic cholestasis 1,0070226,
intrahepatic cholestasis of pregnancy,0070227,
intrahepatic cholestasis of pregnancy 1,0070228,
intrahepatic cholestasis of pregnancy 3,0070229,
benign recurrent intrahepatic cholestasis,0070230,
benign recurrent intrahepatic cholestasis 1,0070231,
benign recurrent intrahepatic cholestasis 2,0070232,
Loeys-Dietz syndrome 4,0070233,
Loeys-Dietz syndrome 2,0070234,
Loeys-Dietz syndrome 1,0070235,
Loeys-Dietz syndrome 5,0070236,
Loeys-Dietz syndrome 3,0070237,
primary coenzyme Q10 deficiency 1,0070238,
primary coenzyme Q10 deficiency 2,0070239,
primary coenzyme Q10 deficiency 3,0070240,
primary coenzyme Q10 deficiency 4,0070241,
primary coenzyme Q10 deficiency 5,0070242,
primary coenzyme Q10 deficiency 6,0070243,
primary coenzyme Q10 deficiency 7,0070244,
primary coenzyme Q10 deficiency 8,0070245,
X-linked Emery-Dreifuss muscular dystrophy 1,0070246,
autosomal dominant Emery-Dreifuss muscular dystrophy 2,0070247,
autosomal recessive Emery-Dreifuss muscular dystrophy 3,0070248,
autosomal dominant Emery-Dreifuss muscular dystrophy 4,0070249,
autosomal dominant Emery-Dreifuss muscular dystrophy 5,0070250,
X-linked Emery-Dreifuss muscular dystrophy 6,0070251,
autosomal dominant Emery-Dreifuss muscular dystrophy 7,0070252,
congenital disorder of glycosylation type IIa,0070253,
congenital disorder of glycosylation type IIb,0070254,
congenital disorder of glycosylation type IIc,0070255,
congenital disorder of glycosylation type IId,0070256,
congenital disorder of glycosylation type IIe,0070257,
congenital disorder of glycosylation type IIf,0070258,
congenital disorder of glycosylation type IIg,0070259,
congenital disorder of glycosylation type IIh,0070260,
congenital disorder of glycosylation type IIi,0070261,
congenital disorder of glycosylation type IIj,0070262,
congenital disorder of glycosylation type IIk,0070263,
congenital disorder of glycosylation type IIl,0070264,
congenital disorder of glycosylation type IIm,0070265,
congenital disorder of glycosylation type IIn,0070266,
congenital disorder of glycosylation type IIo,0070267,
congenital disorder of glycosylation type IIp,0070268,
congenital disorder of glycosylation type IIq,0070269,
hereditary nonpolyposis colorectal cancer type 8,0070270,
Lynch syndrome 1,0070271,
hereditary nonpolyposis colorectal cancer type 5,0070272,
hereditary nonpolyposis colorectal cancer type 6,0070273,
hereditary nonpolyposis colorectal cancer type 2,0070274,
hereditary nonpolyposis colorectal cancer type 4,0070275,
hereditary nonpolyposis colorectal cancer type 7,0070276,
primary autosomal recessive microcephaly 15,0070277,
primary autosomal recessive microcephaly 7,0070278,
primary autosomal recessive microcephaly 14,0070279,
primary autosomal recessive microcephaly 5,0070280,
primary autosomal recessive microcephaly 19,0070281,
primary autosomal recessive microcephaly 8,0070282,
primary autosomal recessive microcephaly 13,0070283,
primary autosomal recessive microcephaly 12,0070284,
